Checklist	ERC000021:1.8	GSC MIxS sediment														
tax_id	scientific_name	sample_alias	project name	temperature	sample_title	sample_description	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	elevation	geographic location (country and/or sea)	depth	sample storage temperature	collection date
#units				ºC			DD	DD				m		m	°C	
749907	sediment metagenome	C1	Gourgouthakas cave metagenomics	9.2	Sediment sample from the cave entrance	Sediment sample from the cave entrance	35.33213	24.08346	karst cave (ENVO_00012411)	cave entrance (ENVO:00000102)	limestone (ENVO:00002053)	1535	Greece	0	-20	2022-08-09
749907	sediment metagenome	C2	Gourgouthakas cave metagenomics	7.2	Sediment sample from at -39 m depth from cave wall biofilm	Sediment sample from at -39 m depth from cave wall biofilm	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	biofilm (ENVO:00002034)	1496	Greece	39	-20	2022-08-09
749907	sediment metagenome	C3	Gourgouthakas cave metagenomics	6.9	Sediment sample from at -220 m depth from cave wall clay	Sediment sample from at -220 m depth from cave wall clay	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	clay (ENVO:00002982)	1315	Greece	220	-20	2022-08-09
749907	sediment metagenome	C4	Gourgouthakas cave metagenomics	6.5	Sediment sample from at -418 m depth from clay-filled fracture 	Sediment sample from at -418 m depth from clay-filled fracture 	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	clay (ENVO:00002982)	1117	Greece	418	-20	2022-08-09
749907	sediment metagenome	C5	Gourgouthakas cave metagenomics	7.4	Sediment sample from at -678 m depth biofilm  from the first siphon	Sediment sample from at -678 m depth biofilm  from the first siphon	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	biofilm (ENVO:00002034)	857	Greece	678	-20	2022-08-09
749907	sediment metagenome	C6	Gourgouthakas cave metagenomics	7.4	Sediment sample from at -713 m depth from Marcel waterfall	Sediment sample from at -713 m depth from Marcel waterfall	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	waterfall (ENVO:00000040)	822	Greece	713	-20	2022-08-09
749907	sediment metagenome	C7	Gourgouthakas cave metagenomics		Sediment sample from at -900 m depth water curtain	Sediment sample from at -900 m depth water curtain	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	waterfall (ENVO:00000040)	635	Greece	900	-20	2022-08-09
749907	sediment metagenome	C8	Gourgouthakas cave metagenomics		Sediment sample from at -1100 m depth from the last siphon	Sediment sample from at -1100 m depth from the last siphon	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	biofilm (ENVO:00002034)	435	Greece	1100	-20	2022-08-09
749907	sediment metagenome	C9	Gourgouthakas cave metagenomics		Sediment sample from at -1050 m depth from black biofilm	Sediment sample from at -1050 m depth from black biofilm	35.33213	24.08346	karst cave (ENVO_00012411)	cave wall (ENVO:00002144)	biofilm (ENVO:00002034)	485	Greece	1050	-20	2022-08-09
