sample_name	site	replicate	barcode	sample_type	sample_set	control_type	depth_m	elevation_m	temperature_c	conductivity_ms	lat	lon	collection_date	description
ctr_EB	ctr_EB		Kinnex16S_Fwd_12--Kinnex16S_Rev_25	control	control	extraction_blank								
ctr_MM	ctr_MM		Kinnex16S_Fwd_12--Kinnex16S_Rev_26	control	control	mastermix_blank								
ctr_msa_3001	ctr_msa_3001		Kinnex16S_Fwd_12--Kinnex16S_Rev_23	control	control	mock								
ctr_zymo_com	ctr_zymo_com		Kinnex16S_Fwd_12--Kinnex16S_Rev_21	control	control	mock								
ctr_zymo_log	ctr_zymo_log		Kinnex16S_Fwd_12--Kinnex16S_Rev_22	control	control	mock								
C1_1_A	C1	1	Kinnex16S_Fwd_01--Kinnex16S_Rev_21	sediment	transect		0	1535	9.2		35.33213	24.08346	2022-08-09	Sediment sample from the cave entrance
C1_2_A	C1	2	Kinnex16S_Fwd_01--Kinnex16S_Rev_22	sediment	transect		0	1535	9.2		35.33213	24.08346	2022-08-09	Sediment sample from the cave entrance
C1I_1_A	C1_I	1	Kinnex16S_Fwd_04--Kinnex16S_Rev_25	sediment	isolate_source		0	1535	9.2		35.33213	24.08346	2022-08-09	Sediment sample from the cave entrance also used for isolates
C1I_2_A	C1_I	2	Kinnex16S_Fwd_04--Kinnex16S_Rev_26	sediment	isolate_source		0	1535	9.2		35.33213	24.08346	2022-08-09	Sediment sample from the cave entrance also used for isolates
C2_1_A	C2	1	Kinnex16S_Fwd_01--Kinnex16S_Rev_23	sediment	transect		39	1496	7.2		35.33213	24.08346	2022-08-09	Sediment sample from at -39 m depth from cave wall biofilm
C2_2_A	C2	2	Kinnex16S_Fwd_01--Kinnex16S_Rev_24	sediment	transect		39	1496	7.2		35.33213	24.08346	2022-08-09	Sediment sample from at -39 m depth from cave wall biofilm
C2I_1_A	C2_I	1	Kinnex16S_Fwd_04--Kinnex16S_Rev_27	sediment	isolate_source		39	1496	7.2		35.33213	24.08346	2022-08-09	Sediment sample from at -39 m depth from cave wall biofilm also used for isolates
C2I_2_A	C2_I	2	Kinnex16S_Fwd_04--Kinnex16S_Rev_28	sediment	isolate_source		39	1496	7.2		35.33213	24.08346	2022-08-09	Sediment sample from at -39 m depth from cave wall biofilm also used for isolates
C3_1_A	C3	1	Kinnex16S_Fwd_01--Kinnex16S_Rev_25	sediment	transect		220	1315	6.9		35.33213	24.08346	2022-08-09	Sediment sample from at -220 m depth from cave wall clay
C3_2_A	C3	2	Kinnex16S_Fwd_01--Kinnex16S_Rev_26	sediment	transect		220	1315	6.9		35.33213	24.08346	2022-08-09	Sediment sample from at -220 m depth from cave wall clay
C3I_1_A	C3_I	1	Kinnex16S_Fwd_05--Kinnex16S_Rev_21	sediment	isolate_source		220	1315	6.9		35.33213	24.08346	2022-08-09	Sediment sample from at -220 m depth from cave wall clay also used for isolates
C3I_2_A	C3_I	2	Kinnex16S_Fwd_05--Kinnex16S_Rev_22	sediment	isolate_source		220	1315	6.9		35.33213	24.08346	2022-08-09	Sediment sample from at -220 m depth from cave wall clay also used for isolates
C4_1_A	C4	1	Kinnex16S_Fwd_01--Kinnex16S_Rev_27	sediment	transect		418	1117	6.5		35.33213	24.08346	2022-08-09	Sediment sample from at -418 m depth from clay-filled fracture
C4_2_A	C4	2	Kinnex16S_Fwd_01--Kinnex16S_Rev_28	sediment	transect		418	1117	6.5		35.33213	24.08346	2022-08-09	Sediment sample from at -418 m depth from clay-filled fracture
