control_id	control_type	is_archaea	expected_genus	expected_species	genomic_dna_pct	rrn_16s_copy_number	genome_size_mb	pct_16s_corrected	source	note
ctr_zymo_com	mock_even	FALSE	Pseudomonas	aeruginosa	12.5	4	6.792	4.146	zymoresearch.com/products/zymobiomics-microbial-community-standard (gDNA %); files.zymoresearch.com/pdf/d6305--d6306-_zymobiomics_microbial_community_dna_standard_v1-1-3.pdf (genome size); benjjneb.github.io/LRASManuscript/LRASms_Zymo.html (16S copy number)	pct_16s_corrected derived: (gDNA%/genome_size) x copy_number, renormalized across the 8 bacteria (2 fungal strains at 2% gDNA each excluded, not 16S targets)
ctr_zymo_com	mock_even	FALSE	Escherichia	coli	12.5	7	4.875	10.111	same as above	same derivation
ctr_zymo_com	mock_even	FALSE	Salmonella	enterica	12.5	7	4.760	10.356	same as above	same derivation
ctr_zymo_com	mock_even	FALSE	Bacillus	subtilis	12.5	10	4.045	17.409	same as above	same derivation
ctr_zymo_com	mock_even	FALSE	Lactobacillus	fermentum	12.5	5	1.905	18.481	same as above	same derivation
ctr_zymo_com	mock_even	FALSE	Enterococcus	faecalis	12.5	4	2.845	9.900	same as above	same derivation
ctr_zymo_com	mock_even	FALSE	Staphylococcus	aureus	12.5	6	2.730	15.475	same as above	same derivation
ctr_zymo_com	mock_even	FALSE	Listeria	monocytogenes	12.5	6	2.992	14.121	same as above	same derivation
ctr_zymo_log	mock_log	FALSE	Listeria	monocytogenes	89.932	6	2.992	95.863	zymoresearch.com/products/zymobiomics-microbial-community-standard-ii-log-distribution (gDNA %, renormalized over 8 bacteria after excluding 2 fungal strains); same genome-size/copy-number sources as ctr_zymo_com	Log-distributed: score by lowest-input member still detected, not by Aitchison distance (see T2)
ctr_zymo_log	mock_log	FALSE	Pseudomonas	aeruginosa	8.983	4	6.792	2.812	same as above	same
ctr_zymo_log	mock_log	FALSE	Bacillus	subtilis	0.898	10	4.045	1.181	same as above	same
ctr_zymo_log	mock_log	FALSE	Escherichia	coli	0.0898	7	4.875	0.0685	same as above	same
ctr_zymo_log	mock_log	FALSE	Salmonella	enterica	0.0898	7	4.760	0.0702	same as above	same
ctr_zymo_log	mock_log	FALSE	Lactobacillus	fermentum	0.00898	5	1.905	0.01253	same as above	same
ctr_zymo_log	mock_log	FALSE	Enterococcus	faecalis	0.000898	4	2.845	0.000671	same as above	same
ctr_zymo_log	mock_log	FALSE	Staphylococcus	aureus	0.0000898	6	2.730	0.000105	same as above	same
ctr_msa_3001	mock_env	FALSE	Bacillus	subtilis	10	NA	NA	NA	atcc.org/products/msa-3001 (ABRF-MGRG 10-strain even mix genomic DNA, ATCC 23857)	16S copy number/genome size not reliably sourced this session -- do not infer pct_16s_corrected from gDNA % alone; needs rrnDB + NCBI lookup
ctr_msa_3001	mock_env	FALSE	Chromobacterium	violaceum	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 12472)	same
ctr_msa_3001	mock_env	FALSE	Enterococcus	faecalis	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 47077)	same
ctr_msa_3001	mock_env	FALSE	Escherichia	coli	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 700926)	same
ctr_msa_3001	mock_env	FALSE	Micrococcus	luteus	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 4698)	same
ctr_msa_3001	mock_env	FALSE	Pseudoalteromonas	haloplanktis	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 14393)	Seawater strain -- presence in sediment/water samples is NOT automatically a contaminant call (corrects an earlier wrong assumption this session)
ctr_msa_3001	mock_env	FALSE	Pseudomonas	fluorescens	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 13525)	same
ctr_msa_3001	mock_env	FALSE	Staphylococcus	epidermidis	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 12228)	same
ctr_msa_3001	mock_env	FALSE	Halobacillus	halophilus	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 35676)	Despite the ATCC page listing it under "archaeal species," Halobacillus is a genus of halophilic BACTERIA (Firmicutes/Bacillota), not archaea -- corrected here
ctr_msa_3001	mock_env	TRUE	Haloferax	volcanii	10	NA	NA	NA	atcc.org/products/msa-3001 (ATCC 29605)	The only true archaeon in this mock (Euryarchaeota, Halobacteriales)
